price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
250000.0,512.0,Barro Preto,Avenida Augusto de Lima,42.0,2.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/32/50/360x266/3605609829.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-barro-preto-2-quartos-42-2973413250.html
460000.0,440.0,Buritis,Rua Aripuana 121,70.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/75/63/19/49/360x266/3668390322.jpg,https://www.imovelweb.com.br/propriedades/apartamento-3-quartos-a-venda-no-buritis!-2975631949.html
1100000.0,860.0,Coração de Jesus,Rua Gonçalves Veloso,170.0,4.0,4.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/64/61/45/33/360x266/2624583394.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-coracao-de-jesus-belo-horizonte-2964614533.html
2100000.0,,Serra,Rua do Ouro,270.0,4.0,5.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/67/31/95/360x266/3612879312.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-serra-4-quartos-270-m-sup2--2973673195.html
205000.0,200.0,Letícia,Rua Virgílio da Costa Correa,67.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/67/32/34/360x266/3612878334.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-leticia-2-quartos-67-m-sup2--2973673234.html
480000.0,,Castelo,Rua Desembargador José Satyro,90.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/61/87/41/65/360x266/2501409959.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2961874165.html
780000.0,,Liberdade,Santo Antônio,145.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/72/87/02/69/360x266/3674528628.jpg,https://www.imovelweb.com.br/propriedades/area-privativa-3-quartos-a-venda-145-m-sup2-2972870269.html
150000.0,163.0,Jaqueline,Rua José Luiz Azevedo,48.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/10/56/360x266/3605498625.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-jaqueline-2-quartos-48-m-sup2-2973411056.html
330000.0,690.0,Venda Nova,Avenida Vilarinho,87.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/21/08/25/360x266/3627997146.jpg,https://www.imovelweb.com.br/propriedades/area-privativa-a-venda-3-quartos-1-suite-1-vaga-2974210825.html
630000.0,,Buritis,Rua Stella Hanriot,100.0,3.0,2.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/76/08/11/74/360x266/3680995939.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-3-quartos-1-suite-3-vagas-2976081174.html
295000.0,400.0,Parque São Pedro (Venda Nova),Rua Embaixador José Aparecido,101.0,3.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/21/08/43/360x266/3627997319.jpg,https://www.imovelweb.com.br/propriedades/cobertura-a-venda-3-quartos-1-vaga-parque-sao-pedro-2974210843.html
1320000.0,1260.0,Buritis,Rua Cônsul Walter 91,130.0,4.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/62/73/01/50/360x266/2569778032.jpg,https://www.imovelweb.com.br/propriedades/apartamento-4-quartos-a-venda-no-buritis!-2962730150.html
330000.0,360.0,Santa Efigênia,Rua Tenente Anastácio de Moura,90.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/02/33/360x266/3605501107.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-santa-efigenia-3-quartos-90-2973410233.html
2790000.0,1800.0,Savassi,Rua Antônio de Albuquerque,410.0,4.0,4.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/94/93/360x266/3605440661.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-savassi-4-quartos-410-m-sup2-2973409493.html
300000.0,330.0,Heliópolis,Rua Maria Manoela Braz,68.0,2.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/67/94/53/30/360x266/2773100896.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-em-heliopolis-2967945330.html
570000.0,784.0,Buritis,Rua Professora Bartira Mourão 587,74.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/74/44/38/35/360x266/3635082190.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-74-m-sup2--por-2974443835.html
450000.0,200.0,Castelo,Rua Elson Nunes de Souza,100.0,2.0,2.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/36/00/26/360x266/3603929842.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2973360026.html
250000.0,200.0,Santa Mônica,Rua José do Patrocínio,61.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/41/96/360x266/3605479845.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-santa-monica-3-quartos-61-2973414196.html
340000.0,350.0,São Pedro,Rua São João Evangelista,102.0,3.0,2.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/77/35/52/73/360x266/3714979851.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sao-pedro-3-quartos-102-2977355273.html
495000.0,637.0,São Pedro,Rua Bolívia 615,70.0,2.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/65/55/45/44/360x266/3679514722.jpg,https://www.imovelweb.com.br/propriedades/apartamento-2-quartos-para-venda-ou-aluguel-no-bairro-2965554544.html
350000.0,200.0,Jardim América,Rua Garret,90.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/14/01/360x266/3605454249.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-jardim-america-2-quartos-90-2973411401.html
430000.0,350.0,Paquetá,Rua Maria Cândida de Jesus,120.0,2.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/98/17/360x266/3713545390.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-paqueta-2-quartos-120-m-sup2-2977309817.html
210000.0,180.0,Conjunto Califórnia,Rua A,60.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/77/44/91/73/360x266/3717948604.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-2-quartos-60-m-sup2-2977449173.html
650352.0,380.0,João Pinheiro,Rua Mariano Procópio 340,114.0,3.0,3.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/66/67/31/86/360x266/2711825222.jpg,https://www.imovelweb.com.br/propriedades/cobertura-a-venda-3-quartos-1-suite-2-vagas-joao-2966673186.html
2000000.0,2250.0,Sion,Rua Santa Maria Itabira,300.0,5.0,4.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/01/14/360x266/3605486332.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sion-5-quartos-300-m-sup2--2973410114.html
